date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:10	739214/739214	---MCZ	200	added ('OK')	text/html	etag:%22b478e-625c6425bb0ff-gzip%22	https://themesflat.co/html/autodeal/index.html	C:/Users/quoct/Desktop/template/cardealer/cardealer/themesflat.co/html/autodeal/index.html	(from )
17:34:11	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2012%20Jan%202025%2010:34:11%20GMT	https://themesflat.co/robots.txt		(from )
17:34:12	225285/225285	---M--	200	added ('OK')	text/css	etag:%2237005-625c6449f03c6%22	https://themesflat.co/html/autodeal/app/css/font-awesome.css	C:/Users/quoct/Desktop/template/cardealer/cardealer/themesflat.co/html/autodeal/app/css/font-awesome.css	(from https://themesflat.co/html/autodeal/index.html)
17:34:12	520/520	---M--	200	added ('OK')	image/png	etag:%22208-625c656281389%22	https://themesflat.co/html/autodeal/assets/images/logo/Favicon.png	C:/Users/quoct/Desktop/template/cardealer/cardealer/themesflat.co/html/autodeal/assets/images/logo/Favicon.png	(from https://themesflat.co/html/autodeal/index.html)
17:34:13	1786/1786	---M--	200	added ('OK')	image/png	etag:%226fa-625c6564c9752%22	https://themesflat.co/html/autodeal/assets/images/logo/logo2.png	C:/Users/quoct/Desktop/template/cardealer/cardealer/themesflat.co/html/autodeal/assets/images/logo/logo2.png	(from https://themesflat.co/html/autodeal/index.html)
17:34:13	7278/7278	---M--	200	added ('OK')	image/png	etag:%221c6e-625c6565ec7a3%22	https://themesflat.co/html/autodeal/assets/images/logo/logo@2x.png	C:/Users/quoct/Desktop/template/cardealer/cardealer/themesflat.co/html/autodeal/assets/images/logo/logo@2x.png	(from https://themesflat.co/html/autodeal/index.html)
17:34:13	328937/328937	---M--	200	added ('OK')	text/css	etag:%22504e9-625d03befb306%22	https://themesflat.co/html/autodeal/app/css/styles.css	C:/Users/quoct/Desktop/template/cardealer/cardealer/themesflat.co/html/autodeal/app/css/styles.css	(from https://themesflat.co/html/autodeal/index.html)
17:34:13	1195882/1195882	---M-Z	200	added ('OK')	text/html	etag:%22123f6a-625d037899d9d-gzip%22	https://themesflat.co/html/autodeal/home02.html	C:/Users/quoct/Desktop/template/cardealer/cardealer/themesflat.co/html/autodeal/home02.html	(from https://themesflat.co/html/autodeal/index.html)
17:34:13	469240/469240	---M-Z	200	added ('OK')	text/html	etag:%22728f8-625c641ac1b26-gzip%22	https://themesflat.co/html/autodeal/home03.html	C:/Users/quoct/Desktop/template/cardealer/cardealer/themesflat.co/html/autodeal/home03.html	(from https://themesflat.co/html/autodeal/index.html)
17:34:14	817669/817669	---M-Z	200	added ('OK')	text/html	etag:%22c7a05-625c641d394c2-gzip%22	https://themesflat.co/html/autodeal/home04.html	C:/Users/quoct/Desktop/template/cardealer/cardealer/themesflat.co/html/autodeal/home04.html	(from https://themesflat.co/html/autodeal/index.html)
17:34:14	883458/883458	---MCZ	200	added ('OK')	text/html	etag:%22d7b02-625c641d73e45-gzip%22	https://themesflat.co/html/autodeal/home05.html	C:/Users/quoct/Desktop/template/cardealer/cardealer/themesflat.co/html/autodeal/home05.html	(from https://themesflat.co/html/autodeal/index.html)
